Temporada_alta,Diferencia_en_minutos,Atraso_menor,Periodo_dia
True,3.0,True,noche
True,9.0,True,noche
True,9.0,True,noche
True,3.0,True,noche
True,-2.0,False,noche
True,34.0,False,noche
True,-5.0,False,noche
True,-5.0,False,noche
True,40.0,False,noche
True,69.0,False,noche
True,-9.0,False,noche
True,14.0,True,noche
True,-7.0,False,noche
True,-4.0,False,noche
True,-11.0,False,noche
True,-9.0,False,noche
True,-9.0,False,noche
True,-12.0,False,noche
True,15.0,False,noche
True,-2.0,False,noche
True,2.0,True,noche
True,8.0,True,noche
True,-5.0,False,noche
True,52.0,False,noche
True,-5.0,False,noche
True,0.0,False,noche
True,26.0,False,noche
True,-3.0,False,noche
True,-5.0,False,noche
True,2.0,True,noche
True,2.0,True,noche
True,-7.0,False,noche
True,-1.0,False,noche
True,5.0,True,noche
True,-4.0,False,noche
True,1.0,True,noche
True,-5.0,False,noche
True,3.0,True,noche
True,-2.0,False,noche
True,-4.0,False,noche
True,-6.0,False,noche
True,4.0,True,noche
True,-4.0,False,noche
True,-4.0,False,noche
True,-9.0,False,noche
True,-10.0,False,noche
True,0.0,False,noche
True,-2.0,False,noche
True,1.0,True,noche
True,-4.0,False,noche
True,10.0,True,noche
True,20.0,False,noche
True,11.0,True,noche
True,24.0,False,noche
True,-5.0,False,noche
True,-7.0,False,noche
True,14.0,True,noche
True,5.0,True,noche
True,0.0,False,noche
True,25.0,False,noche
True,1.0,True,noche
True,0.0,False,noche
True,-4.0,False,noche
True,13.0,True,noche
True,-3.0,False,noche
True,2.0,True,noche
True,-5.0,False,noche
True,0.0,False,noche
True,-2.0,False,noche
True,3.0,True,noche
True,-9.0,False,noche
True,5.0,True,noche
True,-3.0,False,noche
True,-4.0,False,noche
True,-10.0,False,noche
True,-9.0,False,noche
True,62.0,False,noche
True,2.0,True,noche
True,-8.0,False,noche
True,19.0,False,tarde
True,60.0,False,tarde
True,17.0,False,tarde
True,26.0,False,tarde
True,14.0,True,tarde
True,67.0,False,tarde
True,84.0,False,tarde
True,63.0,False,tarde
True,97.0,False,tarde
True,17.0,False,tarde
True,90.0,False,tarde
True,130.0,False,tarde
True,24.0,False,tarde
True,77.0,False,tarde
True,32.0,False,tarde
True,39.0,False,tarde
True,48.0,False,tarde
True,6.0,True,tarde
True,2.0,True,tarde
True,28.0,False,tarde
True,11.0,True,tarde
True,33.0,False,tarde
True,69.0,False,tarde
True,20.0,False,tarde
True,3.0,True,tarde
True,22.0,False,tarde
True,21.0,False,tarde
True,22.0,False,tarde
True,27.0,False,tarde
True,6.0,True,tarde
True,20.0,False,noche
True,17.0,False,noche
True,19.0,False,noche
True,47.0,False,noche
True,5.0,True,noche
True,63.0,False,noche
True,55.0,False,noche
True,53.0,False,noche
True,105.0,False,noche
True,20.0,False,noche
True,72.0,False,noche
True,26.0,False,noche
True,99.0,False,noche
True,52.0,False,noche
True,33.0,False,noche
True,147.0,False,noche
True,18.0,False,noche
True,25.0,False,noche
True,5.0,True,noche
True,21.0,False,noche
True,13.0,True,noche
True,21.0,False,noche
True,11.0,True,noche
True,-4.0,False,noche
True,-1.0,False,noche
True,8.0,True,noche
True,6.0,True,noche
True,-4.0,False,noche
True,6.0,True,noche
True,-4.0,False,tarde
True,0.0,False,tarde
True,3.0,True,tarde
True,-1.0,False,tarde
True,-10.0,False,tarde
True,16.0,False,tarde
True,-1.0,False,tarde
True,1.0,True,tarde
True,14.0,True,tarde
True,8.0,True,tarde
True,7.0,True,tarde
True,7.0,True,tarde
True,5.0,True,tarde
True,17.0,False,tarde
True,1.0,True,tarde
True,12.0,True,tarde
True,-3.0,False,tarde
True,33.0,False,tarde
True,6.0,True,tarde
True,-4.0,False,tarde
True,8.0,True,tarde
True,7.0,True,tarde
True,-1.0,False,tarde
True,3.0,True,tarde
True,-7.0,False,tarde
True,12.0,True,tarde
True,-2.0,False,tarde
True,7.0,True,tarde
True,14.0,True,tarde
True,14.0,True,tarde
True,-5.0,False,tarde
True,-11.0,False,noche
True,13.0,True,noche
True,-2.0,False,noche
